2019-07-01 14:12:30,030 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2019-07-01 14:12:30,030 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Вадим\workspace\Translator\Translate\src\main\resources
2019-07-01 14:12:30,030 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2019-07-01 14:12:30,030 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Вадим\workspace\Translator\Translate\src\test\resources
2019-07-01 14:12:31,184 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2019-07-01 14:12:31,184 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Вадим\workspace\Translator\Translate\src\main\resources
2019-07-01 14:12:31,184 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2019-07-01 14:12:31,184 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Вадим\workspace\Translator\Translate\src\test\resources
2019-07-01 14:12:49,266 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Translate:Translate:0.0.1-SNAPSHOT @ C:\Users\Вадим\workspace\Translator\Translate\pom.xml.
2019-07-01 14:12:49,297 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2019-07-01 14:12:49,297 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Вадим\workspace\Translator\Translate\src\main\resources
2019-07-01 14:12:49,297 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2019-07-01 14:12:49,297 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Вадим\workspace\Translator\Translate\src\test\resources
2019-07-01 14:12:56,582 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2019-07-01 14:12:59,577 [Worker-14] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Вадим\workspace\Translator\Translate
2019-07-01 14:12:59,577 [Worker-14] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B 
2019-07-01 14:13:05,183 [Worker-11] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Translate:Translate:0.0.1-SNAPSHOT @ C:\Users\Вадим\workspace\Translator\Translate\pom.xml.
2019-07-01 14:13:05,214 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2019-07-01 14:13:05,214 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Вадим\workspace\Translator\Translate\src\main\resources
2019-07-01 14:13:05,214 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2019-07-01 14:13:05,214 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Вадим\workspace\Translator\Translate\src\test\resources
2019-07-01 14:13:38,937 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Translate:Translate:0.0.1-SNAPSHOT @ C:\Users\Вадим\workspace\Translator\Translate\pom.xml.
2019-07-01 14:13:39,000 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2019-07-01 14:13:39,000 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Вадим\workspace\Translator\Translate\src\main\resources
2019-07-01 14:13:39,000 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2019-07-01 14:13:39,000 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Вадим\workspace\Translator\Translate\src\test\resources
2019-07-01 14:14:01,355 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Translate:Translate:0.0.1-SNAPSHOT @ C:\Users\Вадим\workspace\Translator\Translate\pom.xml.
2019-07-01 14:14:01,418 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2019-07-01 14:14:01,418 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Вадим\workspace\Translator\Translate\src\main\resources
2019-07-01 14:14:01,418 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2019-07-01 14:14:01,418 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Вадим\workspace\Translator\Translate\src\test\resources
2019-07-01 14:14:02,588 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2019-07-01 14:14:02,588 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Вадим\workspace\Translator\Translate\src\main\resources
2019-07-01 14:14:02,588 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2019-07-01 14:14:02,588 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Вадим\workspace\Translator\Translate\src\test\resources
2019-07-01 14:14:10,669 [main] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2019-07-01 14:14:13,040 [Worker-15] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Вадим\workspace\Translator\Translate
2019-07-01 14:14:13,040 [Worker-15] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B 
